latency,duration,type,marker_value,key,timestamp,marker_id
5.274467,0.000000,marker,1,-1,1748443948.584310,1
10.627017,0.000000,marker,1,-1,1748443953.936860,2
16.088883,0.000000,marker,3,-1,1748443959.398726,3
21.566365,0.000000,marker,1,-1,1748443964.876208,4
26.899394,0.000000,marker,2,-1,1748443970.209237,5
32.380780,0.000000,marker,1,-1,1748443975.690623,6
37.725522,0.000000,marker,2,-1,1748443981.035365,7
43.218620,0.000000,marker,1,-1,1748443986.528463,8
48.676581,0.000000,marker,3,-1,1748443991.986424,9
54.075981,0.000000,marker,1,-1,1748443997.385824,10
59.467572,0.000000,marker,2,-1,1748444002.777415,11
64.777177,0.000000,marker,1,-1,1748444008.087020,12
70.188288,0.000000,marker,2,-1,1748444013.498131,13
75.673578,0.000000,marker,1,-1,1748444018.983421,14
80.987087,0.000000,marker,3,-1,1748444024.296930,15
86.308404,0.000000,marker,1,-1,1748444029.618247,16
91.699995,0.000000,marker,3,-1,1748444035.009838,17
97.099395,0.000000,marker,1,-1,1748444040.409238,18
102.483178,0.000000,marker,1,-1,1748444045.793021,19
107.945043,0.000000,marker,1,-1,1748444051.254886,20
113.356155,0.000000,marker,1,-1,1748444056.665998,21
118.712609,0.000000,marker,2,-1,1748444062.022452,22
124.104200,0.000000,marker,1,-1,1748444067.414043,23
129.503599,0.000000,marker,1,-1,1748444072.813442,24
134.813204,0.000000,marker,2,-1,1748444078.123047,25
140.169658,0.000000,marker,1,-1,1748444083.479501,26
145.514400,0.000000,marker,1,-1,1748444088.824243,27
150.968457,0.000000,marker,2,-1,1748444094.278300,28
156.402993,0.000000,marker,1,-1,1748444099.712836,29
161.794585,0.000000,marker,1,-1,1748444105.104428,30
167.205696,0.000000,marker,3,-1,1748444110.515539,31
172.507493,0.000000,marker,1,-1,1748444115.817336,32
177.992783,0.000000,marker,1,-1,1748444121.302626,33
183.423415,0.000000,marker,2,-1,1748444126.733258,34
188.803294,0.000000,marker,1,-1,1748444132.113137,35
194.261255,0.000000,marker,2,-1,1748444137.571098,36
199.754354,0.000000,marker,1,-1,1748444143.064197,37
205.106904,0.000000,marker,2,-1,1748444148.416747,38
210.603906,0.000000,marker,1,-1,1748444153.913749,39
215.905702,0.000000,marker,2,-1,1748444159.215545,40
221.246540,0.000000,marker,1,-1,1748444164.556383,41
226.552241,0.000000,marker,3,-1,1748444169.862084,42
231.978969,0.000000,marker,1,-1,1748444175.288812,43
237.335423,0.000000,marker,1,-1,1748444180.645266,44
242.793384,0.000000,marker,2,-1,1748444186.103227,45
248.114701,0.000000,marker,1,-1,1748444191.424544,46
253.564854,0.000000,marker,3,-1,1748444196.874697,47
258.936925,0.000000,marker,1,-1,1748444202.246768,48
264.332420,0.000000,marker,1,-1,1748444207.642263,49
269.790381,0.000000,marker,3,-1,1748444213.100224,50
275.205397,0.000000,marker,1,-1,1748444218.515240,51
280.499385,0.000000,marker,1,-1,1748444223.809228,52
285.875360,0.000000,marker,2,-1,1748444229.185203,53
291.263047,0.000000,marker,1,-1,1748444234.572890,54
296.596076,0.000000,marker,1,-1,1748444239.905919,55
