latency,duration,type,marker_value,key,timestamp,marker_id
5.184652,0.000000,marker,1,-1,1740569641.712751,1
10.482523,0.000000,marker,2,-1,1740569647.010622,2
15.838956,0.000000,marker,1,-1,1740569652.367055,3
21.218814,0.000000,marker,1,-1,1740569657.746913,4
26.641616,0.000000,marker,2,-1,1740569663.169715,5
32.080035,0.000000,marker,1,-1,1740569668.608134,6
37.459892,0.000000,marker,1,-1,1740569673.987991,7
42.906120,0.000000,marker,1,-1,1740569679.434219,8
48.297689,0.000000,marker,1,-1,1740569684.825788,9
53.751725,0.000000,marker,3,-1,1740569690.279824,10
59.213568,0.000000,marker,1,-1,1740569695.741667,11
64.655891,0.000000,marker,2,-1,1740569701.183990,12
70.074790,0.000000,marker,1,-1,1740569706.602889,13
75.427319,0.000000,marker,2,-1,1740569711.955418,14
80.717381,0.000000,marker,1,-1,1740569717.245480,15
86.030869,0.000000,marker,3,-1,1740569722.558968,16
91.352165,0.000000,marker,1,-1,1740569727.880264,17
96.681269,0.000000,marker,1,-1,1740569733.209368,18
101.971332,0.000000,marker,2,-1,1740569738.499431,19
107.288724,0.000000,marker,1,-1,1740569743.816823,20
112.621732,0.000000,marker,1,-1,1740569749.149831,21
118.071863,0.000000,marker,1,-1,1740569754.599962,22
123.440008,0.000000,marker,3,-1,1740569759.968107,23
128.765208,0.000000,marker,1,-1,1740569765.293307,24
134.090408,0.000000,marker,3,-1,1740569770.618507,25
139.376567,0.000000,marker,1,-1,1740569775.904666,26
144.775945,0.000000,marker,2,-1,1740569781.304044,27
150.237788,0.000000,marker,1,-1,1740569786.765887,28
155.676207,0.000000,marker,1,-1,1740569792.204306,29
161.048257,0.000000,marker,3,-1,1740569797.576356,30
166.471059,0.000000,marker,1,-1,1740569802.999158,31
171.889958,0.000000,marker,2,-1,1740569808.418057,32
177.285431,0.000000,marker,1,-1,1740569813.813530,33
182.630152,0.000000,marker,1,-1,1740569819.158251,34
187.994393,0.000000,marker,1,-1,1740569824.522492,35
193.417195,0.000000,marker,3,-1,1740569829.945294,36
198.847806,0.000000,marker,1,-1,1740569835.375905,37
204.153485,0.000000,marker,1,-1,1740569840.681584,38
209.607521,0.000000,marker,1,-1,1740569846.135620,39
215.018611,0.000000,marker,1,-1,1740569851.546710,40
220.351619,0.000000,marker,1,-1,1740569856.879718,41
225.645586,0.000000,marker,2,-1,1740569862.173685,42
231.068389,0.000000,marker,1,-1,1740569867.596488,43
236.452150,0.000000,marker,1,-1,1740569872.980249,44
241.933515,0.000000,marker,3,-1,1740569878.461614,45
247.328988,0.000000,marker,1,-1,1740569883.857087,46
252.654188,0.000000,marker,1,-1,1740569889.182287,47
258.100415,0.000000,marker,3,-1,1740569894.628514,48
263.452944,0.000000,marker,1,-1,1740569899.981043,49
268.848418,0.000000,marker,1,-1,1740569905.376517,50
274.306357,0.000000,marker,1,-1,1740569910.834456,51
279.658886,0.000000,marker,1,-1,1740569916.186985,52
284.980182,0.000000,marker,3,-1,1740569921.508281,53
290.324902,0.000000,marker,1,-1,1740569926.853001,54
295.708664,0.000000,marker,3,-1,1740569932.236763,55
301.119754,0.000000,marker,1,-1,1740569937.647853,56
