latency,duration,type,marker_value,key,timestamp,marker_id
5.208077,0.000000,marker,1,-1,1740568736.046190,1
10.603551,0.000000,marker,1,-1,1740568741.441664,2
15.999025,0.000000,marker,2,-1,1740568746.837138,3
21.253951,0.000000,marker,1,-1,1740568752.092064,4
26.528398,0.000000,marker,2,-1,1740568757.366511,5
31.939488,0.000000,marker,1,-1,1740568762.777601,6
37.370099,0.000000,marker,2,-1,1740568768.208212,7
42.699202,0.000000,marker,1,-1,1740568773.537315,8
48.004882,0.000000,marker,2,-1,1740568778.842995,9
53.373027,0.000000,marker,1,-1,1740568784.211140,10
58.674802,0.000000,marker,3,-1,1740568789.512915,11
64.089797,0.000000,marker,1,-1,1740568794.927910,12
69.411092,0.000000,marker,1,-1,1740568800.249205,13
74.693347,0.000000,marker,3,-1,1740568805.531460,14
80.006835,0.000000,marker,1,-1,1740568810.844948,15
85.332035,0.000000,marker,1,-1,1740568816.170148,16
90.594769,0.000000,marker,2,-1,1740568821.432882,17
95.884832,0.000000,marker,1,-1,1740568826.722945,18
101.139758,0.000000,marker,1,-1,1740568831.977871,19
106.488383,0.000000,marker,1,-1,1740568837.326496,20
111.797966,0.000000,marker,2,-1,1740568842.636079,21
117.216865,0.000000,marker,1,-1,1740568848.054978,22
122.518640,0.000000,marker,1,-1,1740568853.356753,23
127.793086,0.000000,marker,1,-1,1740568858.631199,24
133.122190,0.000000,marker,1,-1,1740568863.960303,25
138.521568,0.000000,marker,2,-1,1740568869.359681,26
143.768686,0.000000,marker,1,-1,1740568874.606799,27
149.117310,0.000000,marker,2,-1,1740568879.955423,28
154.383949,0.000000,marker,1,-1,1740568885.222062,29
159.791135,0.000000,marker,1,-1,1740568890.629248,30
165.131951,0.000000,marker,1,-1,1740568895.970064,31
170.472768,0.000000,marker,2,-1,1740568901.310881,32
175.860433,0.000000,marker,1,-1,1740568906.698546,33
181.248099,0.000000,marker,1,-1,1740568912.086212,34
186.483504,0.000000,marker,3,-1,1740568917.321617,35
191.945348,0.000000,marker,1,-1,1740568922.783461,36
197.368151,0.000000,marker,3,-1,1740568928.206264,37
202.806570,0.000000,marker,1,-1,1740568933.644683,38
208.131770,0.000000,marker,2,-1,1740568938.969883,39
213.617038,0.000000,marker,1,-1,1740568944.455151,40
219.035936,0.000000,marker,1,-1,1740568949.874049,41
224.310383,0.000000,marker,3,-1,1740568955.148496,42
229.717569,0.000000,marker,1,-1,1740568960.555682,43
235.171604,0.000000,marker,3,-1,1740568966.009717,44
240.477284,0.000000,marker,1,-1,1740568971.315397,45
245.915703,0.000000,marker,3,-1,1740568976.753816,46
251.299464,0.000000,marker,1,-1,1740568982.137577,47
256.757404,0.000000,marker,1,-1,1740568987.595517,48
262.211439,0.000000,marker,3,-1,1740568993.049552,49
267.501502,0.000000,marker,1,-1,1740568998.339615,50
272.975058,0.000000,marker,1,-1,1740569003.813171,51
278.456422,0.000000,marker,3,-1,1740569009.294535,52
283.926074,0.000000,marker,1,-1,1740569014.764187,53
289.325452,0.000000,marker,2,-1,1740569020.163565,54
294.705309,0.000000,marker,1,-1,1740569025.543422,55
300.034413,0.000000,marker,2,-1,1740569030.872526,56
