latency,duration,type,marker_value,key,timestamp,marker_id
5.135727,0.000000,marker,1,-1,1748442052.957121,1
10.447000,0.000000,marker,2,-1,1748442058.268394,2
15.887779,0.000000,marker,1,-1,1748442063.709173,3
21.279455,0.000000,marker,3,-1,1748442069.100849,4
26.664161,0.000000,marker,1,-1,1748442074.485555,5
32.105625,0.000000,marker,2,-1,1748442079.927019,6
37.419881,0.000000,marker,1,-1,1748442085.241275,7
42.876884,0.000000,marker,3,-1,1748442090.698278,8
48.263243,0.000000,marker,1,-1,1748442096.084637,9
53.585381,0.000000,marker,1,-1,1748442101.406775,10
58.960519,0.000000,marker,1,-1,1748442106.781913,11
64.289363,0.000000,marker,1,-1,1748442112.110757,12
69.739863,0.000000,marker,1,-1,1748442117.561257,13
75.085485,0.000000,marker,3,-1,1748442122.906879,14
80.516798,0.000000,marker,1,-1,1748442128.338192,15
85.858635,0.000000,marker,1,-1,1748442133.680029,16
91.317959,0.000000,marker,1,-1,1748442139.139353,17
96.666577,0.000000,marker,1,-1,1748442144.487971,18
101.953537,0.000000,marker,3,-1,1748442149.774931,19
107.403980,0.000000,marker,1,-1,1748442155.225374,20
112.840880,0.000000,marker,2,-1,1748442160.662274,21
118.241506,0.000000,marker,1,-1,1748442166.062900,22
123.673818,0.000000,marker,1,-1,1748442171.495212,23
128.982205,0.000000,marker,2,-1,1748442176.803599,24
134.356891,0.000000,marker,1,-1,1748442182.178285,25
139.666961,0.000000,marker,3,-1,1748442187.488355,26
145.033325,0.000000,marker,1,-1,1748442192.854719,27
150.383568,0.000000,marker,1,-1,1748442198.204962,28
155.814064,0.000000,marker,3,-1,1748442203.635458,29
161.201293,0.000000,marker,1,-1,1748442209.022687,30
166.579845,0.000000,marker,2,-1,1748442214.401239,31
172.096805,0.000000,marker,1,-1,1748442219.918199,32
177.522515,0.000000,marker,1,-1,1748442225.343909,33
182.932684,0.000000,marker,1,-1,1748442230.754078,34
188.300007,0.000000,marker,1,-1,1748442236.121401,35
193.757227,0.000000,marker,3,-1,1748442241.578621,36
199.176333,0.000000,marker,1,-1,1748442246.997727,37
204.653310,0.000000,marker,1,-1,1748442252.474704,38
209.945180,0.000000,marker,2,-1,1748442257.766574,39
215.430135,0.000000,marker,1,-1,1748442263.251529,40
220.728107,0.000000,marker,3,-1,1748442268.549501,41
226.158920,0.000000,marker,1,-1,1748442273.980314,42
231.604061,0.000000,marker,3,-1,1748442279.425455,43
236.940173,0.000000,marker,1,-1,1748442284.761567,44
242.235050,0.000000,marker,1,-1,1748442290.056444,45
247.694289,0.000000,marker,3,-1,1748442295.515683,46
253.155543,0.000000,marker,1,-1,1748442300.976937,47
258.637528,0.000000,marker,1,-1,1748442306.458922,48
264.084186,0.000000,marker,1,-1,1748442311.905580,49
269.392397,0.000000,marker,1,-1,1748442317.213791,50
274.838349,0.000000,marker,3,-1,1748442322.659743,51
280.195205,0.000000,marker,1,-1,1748442328.016599,52
285.531453,0.000000,marker,1,-1,1748442333.352847,53
290.947881,0.000000,marker,1,-1,1748442338.769275,54
296.401439,0.000000,marker,1,-1,1748442344.222833,55
