latency,duration,type,marker_value,key,timestamp,marker_id
5.357130,0.000000,marker,1,-1,1740574045.609211,1
10.740085,0.000000,marker,1,-1,1740574050.992166,2
16.175803,0.000000,marker,2,-1,1740574056.427884,3
21.647665,0.000000,marker,1,-1,1740574061.899746,4
27.092090,0.000000,marker,1,-1,1740574067.344171,5
32.522515,0.000000,marker,1,-1,1740574072.774596,6
38.007300,0.000000,marker,2,-1,1740574078.259381,7
43.384267,0.000000,marker,1,-1,1740574083.636348,8
48.759345,0.000000,marker,1,-1,1740574089.011426,9
54.111194,0.000000,marker,1,-1,1740574094.363275,10
59.647647,0.000000,marker,2,-1,1740574099.899728,11
65.113224,0.000000,marker,1,-1,1740574105.365305,12
70.484808,0.000000,marker,3,-1,1740574110.736889,13
75.989332,0.000000,marker,1,-1,1740574116.241413,14
81.385150,0.000000,marker,3,-1,1740574121.637231,15
86.876971,0.000000,marker,1,-1,1740574127.129052,16
92.309523,0.000000,marker,3,-1,1740574132.561604,17
97.822966,0.000000,marker,1,-1,1740574138.075047,18
103.282664,0.000000,marker,1,-1,1740574143.534745,19
108.726240,0.000000,marker,1,-1,1740574148.978321,20
114.202852,0.000000,marker,1,-1,1740574154.454933,21
119.610797,0.000000,marker,2,-1,1740574159.862878,22
125.002729,0.000000,marker,1,-1,1740574165.254810,23
130.483654,0.000000,marker,1,-1,1740574170.735735,24
135.977895,0.000000,marker,2,-1,1740574176.229976,25
141.430202,0.000000,marker,1,-1,1740574181.682283,26
146.842164,0.000000,marker,2,-1,1740574187.094245,27
152.248722,0.000000,marker,1,-1,1740574192.500803,28
157.589310,0.000000,marker,1,-1,1740574197.841391,29
163.008083,0.000000,marker,1,-1,1740574203.260164,30
168.439966,0.000000,marker,1,-1,1740574208.692047,31
173.818801,0.000000,marker,1,-1,1740574214.070882,32
179.331779,0.000000,marker,2,-1,1740574219.583860,33
184.712618,0.000000,marker,1,-1,1740574224.964699,34
190.090957,0.000000,marker,2,-1,1740574230.343038,35
195.600032,0.000000,marker,1,-1,1740574235.852113,36
201.132333,0.000000,marker,1,-1,1740574241.384414,37
206.504170,0.000000,marker,2,-1,1740574246.756251,38
211.860890,0.000000,marker,1,-1,1740574252.112971,39
217.235430,0.000000,marker,2,-1,1740574257.487511,40
222.656217,0.000000,marker,1,-1,1740574262.908298,41
228.074007,0.000000,marker,3,-1,1740574268.326088,42
233.586795,0.000000,marker,1,-1,1740574273.838876,43
239.072952,0.000000,marker,1,-1,1740574279.325033,44
244.502757,0.000000,marker,1,-1,1740574284.754838,45
249.936864,0.000000,marker,2,-1,1740574290.188945,46
255.344743,0.000000,marker,1,-1,1740574295.596824,47
260.799972,0.000000,marker,2,-1,1740574301.052053,48
266.326982,0.000000,marker,1,-1,1740574306.579063,49
271.678209,0.000000,marker,2,-1,1740574311.930290,50
277.172679,0.000000,marker,1,-1,1740574317.424760,51
282.665352,0.000000,marker,1,-1,1740574322.917433,52
288.120284,0.000000,marker,1,-1,1740574328.372365,53
293.636383,0.000000,marker,1,-1,1740574333.888464,54
299.160590,0.000000,marker,1,-1,1740574339.412671,55
