latency,duration,type,marker_value,key,timestamp,marker_id
5.169036,0.000000,marker,1,-1,1740570746.137282,1
10.623072,0.000000,marker,2,-1,1740570751.591318,2
16.049778,0.000000,marker,1,-1,1740570757.018024,3
21.347649,0.000000,marker,3,-1,1740570762.315895,4
26.700178,0.000000,marker,1,-1,1740570767.668424,5
32.029282,0.000000,marker,1,-1,1740570772.997528,6
37.331057,0.000000,marker,3,-1,1740570778.299303,7
42.625024,0.000000,marker,1,-1,1740570783.593270,8
48.032210,0.000000,marker,2,-1,1740570789.000456,9
53.361315,0.000000,marker,1,-1,1740570794.329561,10
58.745076,0.000000,marker,1,-1,1740570799.713322,11
64.136646,0.000000,marker,2,-1,1740570805.104892,12
69.594585,0.000000,marker,1,-1,1740570810.562831,13
74.943210,0.000000,marker,3,-1,1740570815.911456,14
80.389437,0.000000,marker,1,-1,1740570821.357683,15
85.792719,0.000000,marker,1,-1,1740570826.760965,16
91.082782,0.000000,marker,3,-1,1740570832.051028,17
96.521201,0.000000,marker,1,-1,1740570837.489447,18
101.920579,0.000000,marker,2,-1,1740570842.888825,19
107.370710,0.000000,marker,1,-1,1740570848.338956,20
112.871595,0.000000,marker,1,-1,1740570853.839841,21
118.181178,0.000000,marker,1,-1,1740570859.149424,22
123.537611,0.000000,marker,3,-1,1740570864.505857,23
128.964318,0.000000,marker,1,-1,1740570869.932564,24
134.289518,0.000000,marker,1,-1,1740570875.257764,25
139.700608,0.000000,marker,1,-1,1740570880.668854,26
145.072657,0.000000,marker,1,-1,1740570886.040903,27
150.475939,0.000000,marker,1,-1,1740570891.444185,28
155.769906,0.000000,marker,2,-1,1740570896.738152,29
161.173188,0.000000,marker,1,-1,1740570902.141434,30
166.451539,0.000000,marker,1,-1,1740570907.419785,31
171.780643,0.000000,marker,3,-1,1740570912.748889,32
177.199541,0.000000,marker,1,-1,1740570918.167787,33
182.653577,0.000000,marker,3,-1,1740570923.621823,34
188.056859,0.000000,marker,1,-1,1740570929.025105,35
193.421100,0.000000,marker,2,-1,1740570934.389346,36
198.851711,0.000000,marker,1,-1,1740570939.819957,37
204.305746,0.000000,marker,1,-1,1740570945.273992,38
209.783206,0.000000,marker,3,-1,1740570950.751452,39
215.206009,0.000000,marker,1,-1,1740570956.174255,40
220.675660,0.000000,marker,3,-1,1740570961.643906,41
225.969627,0.000000,marker,1,-1,1740570966.937873,42
231.404142,0.000000,marker,2,-1,1740570972.372388,43
236.850370,0.000000,marker,1,-1,1740570977.818616,44
242.300501,0.000000,marker,1,-1,1740570983.268747,45
247.774057,0.000000,marker,2,-1,1740570988.742303,46
253.071928,0.000000,marker,1,-1,1740570994.040174,47
258.354183,0.000000,marker,3,-1,1740570999.322429,48
263.761369,0.000000,marker,1,-1,1740571004.729615,49
269.129514,0.000000,marker,2,-1,1740571010.097760,50
274.446906,0.000000,marker,1,-1,1740571015.415152,51
279.869708,0.000000,marker,2,-1,1740571020.837954,52
285.214429,0.000000,marker,1,-1,1740571026.182675,53
290.687985,0.000000,marker,3,-1,1740571031.656231,54
296.005376,0.000000,marker,1,-1,1740571036.973622,55
301.463316,0.000000,marker,2,-1,1740571042.431562,56
