latency,duration,type,marker_value,key,timestamp,marker_id
5.336913,0.000000,marker,1,-1,1740570376.008601,1
10.677729,0.000000,marker,3,-1,1740570381.349417,2
16.073203,0.000000,marker,1,-1,1740570386.744891,3
21.363266,0.000000,marker,1,-1,1740570392.034954,4
26.758739,0.000000,marker,2,-1,1740570397.430427,5
32.185446,0.000000,marker,1,-1,1740570402.857134,6
37.475509,0.000000,marker,3,-1,1740570408.147197,7
42.753860,0.000000,marker,1,-1,1740570413.425548,8
48.055635,0.000000,marker,3,-1,1740570418.727323,9
53.341794,0.000000,marker,1,-1,1740570424.013482,10
58.678706,0.000000,marker,1,-1,1740570429.350394,11
63.964865,0.000000,marker,3,-1,1740570434.636553,12
69.360339,0.000000,marker,1,-1,1740570440.032027,13
74.705059,0.000000,marker,1,-1,1740570445.376747,14
80.135670,0.000000,marker,3,-1,1740570450.807358,15
85.574089,0.000000,marker,1,-1,1740570456.245777,16
90.965659,0.000000,marker,2,-1,1740570461.637347,17
96.251818,0.000000,marker,1,-1,1740570466.923506,18
101.569209,0.000000,marker,3,-1,1740570472.240897,19
107.015437,0.000000,marker,1,-1,1740570477.687125,20
112.348445,0.000000,marker,2,-1,1740570483.020133,21
117.786864,0.000000,marker,1,-1,1740570488.458552,22
123.088639,0.000000,marker,2,-1,1740570493.760327,23
128.441168,0.000000,marker,1,-1,1740570499.112856,24
133.891299,0.000000,marker,3,-1,1740570504.562987,25
139.267252,0.000000,marker,1,-1,1740570509.938940,26
144.557315,0.000000,marker,1,-1,1740570515.229003,27
149.956693,0.000000,marker,3,-1,1740570520.628381,28
155.402920,0.000000,marker,1,-1,1740570526.074608,29
160.778873,0.000000,marker,2,-1,1740570531.450561,30
166.186060,0.000000,marker,1,-1,1740570536.857748,31
171.601054,0.000000,marker,1,-1,1740570542.272742,32
176.984816,0.000000,marker,1,-1,1740570547.656504,33
182.438851,0.000000,marker,2,-1,1740570553.110539,34
187.873366,0.000000,marker,1,-1,1740570558.545054,35
193.175141,0.000000,marker,1,-1,1740570563.846829,36
198.527670,0.000000,marker,3,-1,1740570569.199358,37
203.868486,0.000000,marker,1,-1,1740570574.540174,38
209.232727,0.000000,marker,1,-1,1740570579.904415,39
214.608680,0.000000,marker,1,-1,1740570585.280368,40
220.070524,0.000000,marker,1,-1,1740570590.742212,41
225.520655,0.000000,marker,2,-1,1740570596.192343,42
230.943458,0.000000,marker,1,-1,1740570601.615146,43
236.335027,0.000000,marker,1,-1,1740570607.006715,44
241.753926,0.000000,marker,1,-1,1740570612.425614,45
247.211865,0.000000,marker,1,-1,1740570617.883553,46
252.556586,0.000000,marker,2,-1,1740570623.228274,47
258.014525,0.000000,marker,1,-1,1740570628.686213,48
263.472465,0.000000,marker,2,-1,1740570634.144153,49
268.942117,0.000000,marker,1,-1,1740570639.613805,50
274.314166,0.000000,marker,1,-1,1740570644.985854,51
279.760393,0.000000,marker,2,-1,1740570650.432081,52
285.167579,0.000000,marker,1,-1,1740570655.839267,53
290.473259,0.000000,marker,3,-1,1740570661.144947,54
295.775034,0.000000,marker,1,-1,1740570666.446722,55
301.186124,0.000000,marker,2,-1,1740570671.857812,56
