latency,duration,type,marker_value,key,timestamp,marker_id
5.139382,0.000000,marker,1,-1,1740586969.938878,1
10.489628,0.000000,marker,3,-1,1740586975.289124,2
15.970956,0.000000,marker,1,-1,1740586980.770452,3
21.304296,0.000000,marker,1,-1,1740586986.103792,4
26.777834,0.000000,marker,2,-1,1740586991.577330,5
32.232871,0.000000,marker,1,-1,1740586997.032367,6
37.584342,0.000000,marker,1,-1,1740587002.383838,7
42.890506,0.000000,marker,3,-1,1740587007.690002,8
48.225911,0.000000,marker,1,-1,1740587013.025407,9
53.590867,0.000000,marker,2,-1,1740587018.390363,10
59.073449,0.000000,marker,1,-1,1740587023.872945,11
64.479905,0.000000,marker,2,-1,1740587029.279401,12
69.836294,0.000000,marker,1,-1,1740587034.635790,13
75.235736,0.000000,marker,2,-1,1740587040.035232,14
80.623908,0.000000,marker,1,-1,1740587045.423404,15
85.977076,0.000000,marker,1,-1,1740587050.776572,16
91.305726,0.000000,marker,1,-1,1740587056.105222,17
96.763867,0.000000,marker,1,-1,1740587061.563363,18
102.100237,0.000000,marker,1,-1,1740587066.899733,19
107.490541,0.000000,marker,1,-1,1740587072.290037,20
112.831203,0.000000,marker,2,-1,1740587077.630699,21
118.274347,0.000000,marker,1,-1,1740587083.073843,22
123.651140,0.000000,marker,1,-1,1740587088.450636,23
129.026234,0.000000,marker,2,-1,1740587093.825730,24
134.396031,0.000000,marker,1,-1,1740587099.195527,25
139.840511,0.000000,marker,3,-1,1740587104.640007,26
145.287500,0.000000,marker,1,-1,1740587110.086996,27
150.737034,0.000000,marker,1,-1,1740587115.536530,28
156.062309,0.000000,marker,1,-1,1740587120.861805,29
161.387721,0.000000,marker,3,-1,1740587126.187217,30
166.691864,0.000000,marker,1,-1,1740587131.491360,31
171.995447,0.000000,marker,1,-1,1740587136.794943,32
177.445264,0.000000,marker,3,-1,1740587142.244760,33
182.777725,0.000000,marker,1,-1,1740587147.577221,34
188.248896,0.000000,marker,1,-1,1740587153.048392,35
193.637822,0.000000,marker,1,-1,1740587158.437318,36
198.930279,0.000000,marker,1,-1,1740587163.729775,37
204.404268,0.000000,marker,2,-1,1740587169.203764,38
209.763277,0.000000,marker,1,-1,1740587174.562773,39
215.199340,0.000000,marker,1,-1,1740587179.998836,40
220.507808,0.000000,marker,1,-1,1740587185.307304,41
225.943375,0.000000,marker,3,-1,1740587190.742871,42
231.287379,0.000000,marker,1,-1,1740587196.086875,43
236.593253,0.000000,marker,1,-1,1740587201.392749,44
241.922643,0.000000,marker,1,-1,1740587206.722139,45
247.430670,0.000000,marker,3,-1,1740587212.230166,46
252.815305,0.000000,marker,1,-1,1740587217.614801,47
258.245476,0.000000,marker,1,-1,1740587223.044972,48
263.575874,0.000000,marker,1,-1,1740587228.375370,49
269.055693,0.000000,marker,1,-1,1740587233.855189,50
274.436033,0.000000,marker,3,-1,1740587239.235529,51
279.772057,0.000000,marker,1,-1,1740587244.571553,52
285.218898,0.000000,marker,2,-1,1740587250.018394,53
