latency,duration,type,marker_value,key,timestamp,marker_id
5.174351,0.000000,marker,1,-1,1740999259.225041,1
10.470943,0.000000,marker,1,-1,1740999264.521633,2
15.723480,0.000000,marker,1,-1,1740999269.774170,3
21.135991,0.000000,marker,3,-1,1740999275.186681,4
26.385528,0.000000,marker,1,-1,1740999280.436218,5
31.722154,0.000000,marker,1,-1,1740999285.772844,6
37.051174,0.000000,marker,3,-1,1740999291.101864,7
42.407627,0.000000,marker,1,-1,1740999296.458317,8
47.709519,0.000000,marker,1,-1,1740999301.760209,9
52.972171,0.000000,marker,2,-1,1740999307.022861,10
58.321508,0.000000,marker,1,-1,1740999312.372198,11
63.580551,0.000000,marker,2,-1,1740999317.631241,12
68.948010,0.000000,marker,1,-1,1740999322.998700,13
74.213862,0.000000,marker,2,-1,1740999328.264552,14
79.481512,0.000000,marker,1,-1,1740999333.532202,15
84.754476,0.000000,marker,1,-1,1740999338.805166,16
90.111522,0.000000,marker,3,-1,1740999344.162212,17
95.379777,0.000000,marker,1,-1,1740999349.430467,18
100.657541,0.000000,marker,3,-1,1740999354.708231,19
105.985661,0.000000,marker,1,-1,1740999360.036351,20
111.374742,0.000000,marker,3,-1,1740999365.425432,21
116.672640,0.000000,marker,1,-1,1740999370.723330,22
121.953217,0.000000,marker,3,-1,1740999376.003907,23
127.335590,0.000000,marker,1,-1,1740999381.386280,24
132.753202,0.000000,marker,3,-1,1740999386.803892,25
138.066906,0.000000,marker,1,-1,1740999392.117596,26
143.449980,0.000000,marker,1,-1,1740999397.500670,27
148.779396,0.000000,marker,2,-1,1740999402.830086,28
154.075582,0.000000,marker,1,-1,1740999408.126272,29
159.463062,0.000000,marker,2,-1,1740999413.513752,30
164.704689,0.000000,marker,1,-1,1740999418.755379,31
170.111989,0.000000,marker,2,-1,1740999424.162679,32
175.457321,0.000000,marker,1,-1,1740999429.508011,33
180.771419,0.000000,marker,1,-1,1740999434.822109,34
186.083322,0.000000,marker,3,-1,1740999440.134012,35
191.339859,0.000000,marker,1,-1,1740999445.390549,36
196.726838,0.000000,marker,1,-1,1740999450.777528,37
202.124831,0.000000,marker,1,-1,1740999456.175521,38
207.403496,0.000000,marker,3,-1,1740999461.454186,39
212.728209,0.000000,marker,1,-1,1740999466.778899,40
217.999565,0.000000,marker,2,-1,1740999472.050255,41
223.369128,0.000000,marker,1,-1,1740999477.419818,42
228.716966,0.000000,marker,1,-1,1740999482.767656,43
234.056898,0.000000,marker,2,-1,1740999488.107588,44
239.367393,0.000000,marker,1,-1,1740999493.418083,45
244.675790,0.000000,marker,2,-1,1740999498.726480,46
249.924720,0.000000,marker,1,-1,1740999503.975410,47
255.300685,0.000000,marker,1,-1,1740999509.351375,48
260.758136,0.000000,marker,3,-1,1740999514.808826,49
266.086653,0.000000,marker,1,-1,1740999520.137343,50
271.505756,0.000000,marker,3,-1,1740999525.556446,51
276.748476,0.000000,marker,1,-1,1740999530.799166,52
282.113329,0.000000,marker,2,-1,1740999536.164019,53
287.439342,0.000000,marker,1,-1,1740999541.490032,54
292.701889,0.000000,marker,2,-1,1740999546.752579,55
298.103481,0.000000,marker,1,-1,1740999552.154171,56
