latency,duration,type,marker_value,key,timestamp,marker_id
5.258852,0.000000,marker,1,-1,1747836414.627893,1
10.744143,0.000000,marker,3,-1,1747836420.113184,2
16.061557,0.000000,marker,1,-1,1747836425.430598,3
21.523423,0.000000,marker,3,-1,1747836430.892464,4
27.008715,0.000000,marker,1,-1,1747836436.377756,5
32.400307,0.000000,marker,1,-1,1747836441.769348,6
37.807515,0.000000,marker,2,-1,1747836447.176556,7
43.265478,0.000000,marker,1,-1,1747836452.634519,8
48.575083,0.000000,marker,3,-1,1747836457.944124,9
53.982292,0.000000,marker,1,-1,1747836463.351333,10
59.385597,0.000000,marker,1,-1,1747836468.754638,11
64.695202,0.000000,marker,1,-1,1747836474.064243,12
70.067274,0.000000,marker,1,-1,1747836479.436315,13
75.529140,0.000000,marker,2,-1,1747836484.898181,14
80.897308,0.000000,marker,1,-1,1747836490.266349,15
86.366982,0.000000,marker,3,-1,1747836495.736023,16
91.774191,0.000000,marker,1,-1,1747836501.143232,17
97.056468,0.000000,marker,3,-1,1747836506.425509,18
102.483197,0.000000,marker,1,-1,1747836511.852238,19
107.781090,0.000000,marker,2,-1,1747836517.150131,20
113.082888,0.000000,marker,1,-1,1747836522.451929,21
118.536946,0.000000,marker,2,-1,1747836527.905987,22
123.920730,0.000000,marker,1,-1,1747836533.289771,23
129.343555,0.000000,marker,1,-1,1747836538.712596,24
134.715627,0.000000,marker,3,-1,1747836544.084668,25
140.138452,0.000000,marker,1,-1,1747836549.507493,26
145.576893,0.000000,marker,1,-1,1747836554.945934,27
150.976294,0.000000,marker,2,-1,1747836560.345335,28
156.414736,0.000000,marker,1,-1,1747836565.783777,29
161.802424,0.000000,marker,1,-1,1747836571.171465,30
167.260386,0.000000,marker,1,-1,1747836576.629427,31
172.675403,0.000000,marker,3,-1,1747836582.044444,32
178.066995,0.000000,marker,1,-1,1747836587.436036,33
183.415642,0.000000,marker,1,-1,1747836592.784683,34
188.842371,0.000000,marker,1,-1,1747836598.211412,35
194.253484,0.000000,marker,1,-1,1747836603.622525,36
199.652884,0.000000,marker,3,-1,1747836609.021925,37
204.931257,0.000000,marker,1,-1,1747836614.300298,38
210.432165,0.000000,marker,3,-1,1747836619.801206,39
215.796428,0.000000,marker,1,-1,1747836625.165469,40
221.223157,0.000000,marker,2,-1,1747836630.592198,41
226.649887,0.000000,marker,1,-1,1747836636.018928,42
231.975109,0.000000,marker,1,-1,1747836641.344150,43
237.354989,0.000000,marker,2,-1,1747836646.724030,44
242.645074,0.000000,marker,1,-1,1747836652.014115,45
247.989816,0.000000,marker,3,-1,1747836657.358857,46
253.311134,0.000000,marker,1,-1,1747836662.680175,47
258.640261,0.000000,marker,2,-1,1747836668.009302,48
264.012332,0.000000,marker,1,-1,1747836673.381373,49
269.411733,0.000000,marker,1,-1,1747836678.780774,50
274.717434,0.000000,marker,3,-1,1747836684.086475,51
280.007519,0.000000,marker,1,-1,1747836689.376560,52
285.375687,0.000000,marker,2,-1,1747836694.744728,53
290.810224,0.000000,marker,1,-1,1747836700.179265,54
296.260378,0.000000,marker,2,-1,1747836705.629419,55
