latency,duration,type,marker_value,key,timestamp,marker_id
5.322006,0.000000,marker,1,-1,1741001321.993251,1
10.624892,0.000000,marker,3,-1,1741001327.296137,2
16.042706,0.000000,marker,1,-1,1741001332.713951,3
21.449201,0.000000,marker,2,-1,1741001338.120446,4
26.914357,0.000000,marker,1,-1,1741001343.585602,5
32.264691,0.000000,marker,1,-1,1741001348.935936,6
37.659574,0.000000,marker,3,-1,1741001354.330819,7
43.160269,0.000000,marker,1,-1,1741001359.831514,8
48.570071,0.000000,marker,2,-1,1741001365.241316,9
53.924210,0.000000,marker,1,-1,1741001370.595455,10
59.311992,0.000000,marker,3,-1,1741001375.983237,11
64.767843,0.000000,marker,1,-1,1741001381.439088,12
70.161520,0.000000,marker,2,-1,1741001386.832765,13
75.523873,0.000000,marker,1,-1,1741001392.195118,14
80.953590,0.000000,marker,2,-1,1741001397.624835,15
86.291722,0.000000,marker,1,-1,1741001402.962967,16
91.626339,0.000000,marker,1,-1,1741001408.297584,17
96.938737,0.000000,marker,3,-1,1741001413.609982,18
102.391782,0.000000,marker,1,-1,1741001419.063027,19
107.839518,0.000000,marker,3,-1,1741001424.510763,20
113.180642,0.000000,marker,1,-1,1741001429.851887,21
118.559510,0.000000,marker,3,-1,1741001435.230755,22
123.990228,0.000000,marker,1,-1,1741001440.661473,23
129.413742,0.000000,marker,2,-1,1741001446.084987,24
134.839759,0.000000,marker,1,-1,1741001451.511004,25
140.254661,0.000000,marker,2,-1,1741001456.925906,26
145.611101,0.000000,marker,1,-1,1741001462.282346,27
151.092473,0.000000,marker,2,-1,1741001467.763718,28
156.559131,0.000000,marker,1,-1,1741001473.230376,29
161.961621,0.000000,marker,2,-1,1741001478.632866,30
167.466720,0.000000,marker,1,-1,1741001484.137965,31
172.931676,0.000000,marker,1,-1,1741001489.602921,32
178.348180,0.000000,marker,1,-1,1741001495.019425,33
183.754175,0.000000,marker,2,-1,1741001500.425420,34
189.243754,0.000000,marker,1,-1,1741001505.914999,35
194.656252,0.000000,marker,2,-1,1741001511.327497,36
200.128722,0.000000,marker,1,-1,1741001516.799967,37
205.520798,0.000000,marker,1,-1,1741001522.192043,38
210.860623,0.000000,marker,1,-1,1741001527.531868,39
216.213557,0.000000,marker,2,-1,1741001532.884802,40
221.699936,0.000000,marker,1,-1,1741001538.371181,41
227.036055,0.000000,marker,1,-1,1741001543.707300,42
232.474079,0.000000,marker,2,-1,1741001549.145324,43
237.783276,0.000000,marker,1,-1,1741001554.454521,44
243.100976,0.000000,marker,1,-1,1741001559.772221,45
248.465926,0.000000,marker,2,-1,1741001565.137171,46
253.834578,0.000000,marker,1,-1,1741001570.505823,47
259.299734,0.000000,marker,2,-1,1741001575.970979,48
264.641157,0.000000,marker,1,-1,1741001581.312402,49
269.996894,0.000000,marker,1,-1,1741001586.668139,50
275.365548,0.000000,marker,3,-1,1741001592.036793,51
280.787558,0.000000,marker,1,-1,1741001597.458803,52
286.207763,0.000000,marker,2,-1,1741001602.879008,53
291.703654,0.000000,marker,1,-1,1741001608.374899,54
297.016451,0.000000,marker,2,-1,1741001613.687696,55
