latency,duration,type,marker_value,key,timestamp,marker_id
5.232243,0.000000,marker,1,-1,1740587616.913065,1
10.568982,0.000000,marker,3,-1,1740587622.249804,2
16.019119,0.000000,marker,1,-1,1740587627.699941,3
21.348952,0.000000,marker,1,-1,1740587633.029774,4
26.658168,0.000000,marker,1,-1,1740587638.338990,5
32.104302,0.000000,marker,3,-1,1740587643.785124,6
37.476972,0.000000,marker,1,-1,1740587649.157794,7
42.828124,0.000000,marker,1,-1,1740587654.508946,8
48.154052,0.000000,marker,3,-1,1740587659.834874,9
53.466667,0.000000,marker,1,-1,1740587665.147489,10
58.875463,0.000000,marker,2,-1,1740587670.556285,11
64.286972,0.000000,marker,1,-1,1740587675.967794,12
69.756028,0.000000,marker,1,-1,1740587681.436850,13
75.065750,0.000000,marker,1,-1,1740587686.746572,14
80.423804,0.000000,marker,2,-1,1740587692.104626,15
85.868738,0.000000,marker,1,-1,1740587697.549560,16
91.333689,0.000000,marker,2,-1,1740587703.014511,17
96.664622,0.000000,marker,1,-1,1740587708.345444,18
102.032998,0.000000,marker,1,-1,1740587713.713820,19
107.447201,0.000000,marker,3,-1,1740587719.128023,20
112.896839,0.000000,marker,1,-1,1740587724.577661,21
118.362300,0.000000,marker,2,-1,1740587730.043122,22
123.739871,0.000000,marker,1,-1,1740587735.420693,23
129.052088,0.000000,marker,3,-1,1740587740.732910,24
134.479407,0.000000,marker,1,-1,1740587746.160229,25
139.877605,0.000000,marker,1,-1,1740587751.558427,26
145.301727,0.000000,marker,2,-1,1740587756.982549,27
150.756281,0.000000,marker,1,-1,1740587762.437103,28
156.186206,0.000000,marker,2,-1,1740587767.867028,29
161.631646,0.000000,marker,1,-1,1740587773.312468,30
167.007523,0.000000,marker,2,-1,1740587778.688345,31
172.301635,0.000000,marker,1,-1,1740587783.982457,32
177.756692,0.000000,marker,1,-1,1740587789.437514,33
183.096941,0.000000,marker,3,-1,1740587794.777763,34
188.480525,0.000000,marker,1,-1,1740587800.161347,35
193.906547,0.000000,marker,3,-1,1740587805.587369,36
199.205660,0.000000,marker,1,-1,1740587810.886482,37
204.589562,0.000000,marker,3,-1,1740587816.270384,38
209.991589,0.000000,marker,1,-1,1740587821.672411,39
215.364201,0.000000,marker,1,-1,1740587827.045023,40
220.811284,0.000000,marker,3,-1,1740587832.492106,41
226.094041,0.000000,marker,1,-1,1740587837.774863,42
231.406624,0.000000,marker,2,-1,1740587843.087446,43
236.824406,0.000000,marker,1,-1,1740587848.505228,44
242.215878,0.000000,marker,3,-1,1740587853.896700,45
247.552314,0.000000,marker,1,-1,1740587859.233136,46
252.925790,0.000000,marker,2,-1,1740587864.606612,47
258.414494,0.000000,marker,1,-1,1740587870.095316,48
263.822048,0.000000,marker,1,-1,1740587875.502870,49
269.197084,0.000000,marker,1,-1,1740587880.877906,50
274.643408,0.000000,marker,2,-1,1740587886.324230,51
280.114270,0.000000,marker,1,-1,1740587891.795092,52
285.508685,0.000000,marker,3,-1,1740587897.189507,53
290.955157,0.000000,marker,1,-1,1740587902.635979,54
296.319476,0.000000,marker,2,-1,1740587908.000298,55
