latency,duration,type,marker_value,key,timestamp,marker_id
5.153427,0.000000,marker,1,-1,1747844897.539441,1
10.502059,0.000000,marker,2,-1,1747844902.888073,2
15.858499,0.000000,marker,1,-1,1747844908.244513,3
21.113432,0.000000,marker,1,-1,1747844913.499446,4
26.368366,0.000000,marker,1,-1,1747844918.754380,5
31.693573,0.000000,marker,2,-1,1747844924.079587,6
36.991452,0.000000,marker,1,-1,1747844929.377466,7
42.375221,0.000000,marker,2,-1,1747844934.761235,8
47.649675,0.000000,marker,1,-1,1747844940.035689,9
52.881184,0.000000,marker,3,-1,1747844945.267198,10
58.261049,0.000000,marker,1,-1,1747844950.647063,11
63.469133,0.000000,marker,3,-1,1747844955.855147,12
68.786532,0.000000,marker,1,-1,1747844961.172546,13
74.150781,0.000000,marker,3,-1,1747844966.536795,14
79.495509,0.000000,marker,1,-1,1747844971.881523,15
84.781675,0.000000,marker,2,-1,1747844977.167689,16
90.001471,0.000000,marker,1,-1,1747844982.387485,17
95.260309,0.000000,marker,2,-1,1747844987.646323,18
100.487913,0.000000,marker,1,-1,1747844992.873927,19
105.844354,0.000000,marker,1,-1,1747844998.230368,20
111.204698,0.000000,marker,1,-1,1747845003.590712,21
116.475248,0.000000,marker,2,-1,1747845008.861262,22
121.784839,0.000000,marker,1,-1,1747845014.170853,23
127.063197,0.000000,marker,1,-1,1747845019.449211,24
132.310322,0.000000,marker,1,-1,1747845024.696336,25
137.534023,0.000000,marker,2,-1,1747845029.920037,26
142.906080,0.000000,marker,1,-1,1747845035.292094,27
148.215670,0.000000,marker,1,-1,1747845040.601684,28
153.427659,0.000000,marker,1,-1,1747845045.813673,29
158.752866,0.000000,marker,1,-1,1747845051.138880,30
164.023416,0.000000,marker,1,-1,1747845056.409430,31
169.418898,0.000000,marker,3,-1,1747845061.804912,32
174.666023,0.000000,marker,1,-1,1747845067.052037,33
179.924860,0.000000,marker,2,-1,1747845072.310874,34
185.312533,0.000000,marker,1,-1,1747845077.698547,35
190.590891,0.000000,marker,1,-1,1747845082.976905,36
195.841921,0.000000,marker,3,-1,1747845088.227935,37
201.081238,0.000000,marker,1,-1,1747845093.467252,38
206.304938,0.000000,marker,2,-1,1747845098.690952,39
211.575488,0.000000,marker,1,-1,1747845103.961502,40
216.822613,0.000000,marker,1,-1,1747845109.208627,41
222.097067,0.000000,marker,2,-1,1747845114.483081,42
227.387138,0.000000,marker,1,-1,1747845119.773152,43
232.708441,0.000000,marker,2,-1,1747845125.094455,44
238.049265,0.000000,marker,1,-1,1747845130.435279,45
243.421322,0.000000,marker,2,-1,1747845135.807336,46
248.715296,0.000000,marker,1,-1,1747845141.101310,47
253.927285,0.000000,marker,2,-1,1747845146.313299,48
259.158793,0.000000,marker,1,-1,1747845151.544807,49
264.366877,0.000000,marker,3,-1,1747845156.752891,50
269.707701,0.000000,marker,1,-1,1747845162.093715,51
275.091470,0.000000,marker,1,-1,1747845167.477484,52
280.428390,0.000000,marker,1,-1,1747845172.814404,53
285.687228,0.000000,marker,1,-1,1747845178.073242,54
291.028051,0.000000,marker,2,-1,1747845183.414065,55
296.329834,0.000000,marker,1,-1,1747845188.715848,56
