latency,duration,type,marker_value,key,timestamp,marker_id
5.153427,0.000000,marker,1,-1,1747844559.380920,1
10.548908,0.000000,marker,2,-1,1747844564.776401,2
15.835074,0.000000,marker,1,-1,1747844570.062567,3
21.203227,0.000000,marker,2,-1,1747844575.430720,4
26.442544,0.000000,marker,1,-1,1747844580.670037,5
31.826313,0.000000,marker,2,-1,1747844586.053806,6
37.069534,0.000000,marker,1,-1,1747844591.297027,7
42.386933,0.000000,marker,3,-1,1747844596.614426,8
47.614538,0.000000,marker,1,-1,1747844601.842031,9
52.849951,0.000000,marker,3,-1,1747844607.077444,10
58.151734,0.000000,marker,1,-1,1747844612.379227,11
63.433996,0.000000,marker,1,-1,1747844617.661489,12
68.731875,0.000000,marker,1,-1,1747844622.959368,13
74.037561,0.000000,marker,3,-1,1747844628.265054,14
79.405714,0.000000,marker,1,-1,1747844633.633207,15
84.809004,0.000000,marker,2,-1,1747844639.036497,16
90.099074,0.000000,marker,1,-1,1747844644.326567,17
95.354008,0.000000,marker,2,-1,1747844649.581501,18
100.624557,0.000000,marker,1,-1,1747844654.852050,19
105.961477,0.000000,marker,3,-1,1747844660.188970,20
111.337438,0.000000,marker,1,-1,1747844665.564931,21
116.639221,0.000000,marker,3,-1,1747844670.866714,22
121.960524,0.000000,marker,1,-1,1747844676.188017,23
127.348197,0.000000,marker,3,-1,1747844681.575690,24
132.661693,0.000000,marker,1,-1,1747844686.889186,25
138.064982,0.000000,marker,1,-1,1747844692.292475,26
143.358957,0.000000,marker,1,-1,1747844697.586450,27
148.567041,0.000000,marker,1,-1,1747844702.794534,28
153.829782,0.000000,marker,1,-1,1747844708.057275,29
159.112045,0.000000,marker,2,-1,1747844713.339538,30
164.491910,0.000000,marker,1,-1,1747844718.719403,31
169.715610,0.000000,marker,2,-1,1747844723.943103,32
175.072051,0.000000,marker,1,-1,1747844729.299544,33
180.424587,0.000000,marker,2,-1,1747844734.652080,34
185.761506,0.000000,marker,1,-1,1747844739.988999,35
191.063289,0.000000,marker,1,-1,1747844745.290782,36
196.349456,0.000000,marker,3,-1,1747844750.576949,37
201.674663,0.000000,marker,1,-1,1747844755.902156,38
207.038912,0.000000,marker,1,-1,1747844761.266405,39
212.422681,0.000000,marker,3,-1,1747844766.650174,40
217.732272,0.000000,marker,1,-1,1747844771.959765,41
222.971589,0.000000,marker,1,-1,1747844777.199082,42
228.324125,0.000000,marker,2,-1,1747844782.551618,43
233.696181,0.000000,marker,1,-1,1747844787.923674,44
239.048718,0.000000,marker,3,-1,1747844793.276211,45
244.409062,0.000000,marker,1,-1,1747844798.636555,46
249.660091,0.000000,marker,1,-1,1747844803.887584,47
255.036052,0.000000,marker,2,-1,1747844809.263545,48
260.298794,0.000000,marker,1,-1,1747844814.526287,49
265.639618,0.000000,marker,2,-1,1747844819.867111,50
270.894551,0.000000,marker,1,-1,1747844825.122044,51
276.122156,0.000000,marker,1,-1,1747844830.349649,52
281.509829,0.000000,marker,3,-1,1747844835.737322,53
286.877982,0.000000,marker,1,-1,1747844841.105475,54
292.148532,0.000000,marker,3,-1,1747844846.376025,55
297.407369,0.000000,marker,1,-1,1747844851.634862,56
