latency,duration,type,marker_value,key,timestamp,marker_id
5.114404,0.000000,marker,1,-1,1748440256.946242,1
10.560658,0.000000,marker,2,-1,1748440262.392496,2
15.862460,0.000000,marker,1,-1,1748440267.694298,3
21.117412,0.000000,marker,3,-1,1748440272.949250,4
26.532434,0.000000,marker,1,-1,1748440278.364272,5
31.826427,0.000000,marker,1,-1,1748440283.658265,6
37.221928,0.000000,marker,1,-1,1748440289.053766,7
42.554963,0.000000,marker,2,-1,1748440294.386801,8
47.950463,0.000000,marker,1,-1,1748440299.782301,9
53.404526,0.000000,marker,2,-1,1748440305.236364,10
58.706327,0.000000,marker,1,-1,1748440310.538165,11
63.976896,0.000000,marker,2,-1,1748440315.808734,12
69.270890,0.000000,marker,1,-1,1748440321.102728,13
74.717144,0.000000,marker,2,-1,1748440326.548982,14
80.120453,0.000000,marker,1,-1,1748440331.952291,15
85.469104,0.000000,marker,1,-1,1748440337.300942,16
90.821659,0.000000,marker,2,-1,1748440342.653497,17
96.189831,0.000000,marker,1,-1,1748440348.021669,18
101.643894,0.000000,marker,1,-1,1748440353.475732,19
106.926175,0.000000,marker,2,-1,1748440358.758013,20
112.192839,0.000000,marker,1,-1,1748440364.024677,21
117.603957,0.000000,marker,3,-1,1748440369.435795,22
122.855005,0.000000,marker,1,-1,1748440374.686843,23
128.168519,0.000000,marker,1,-1,1748440380.000357,24
133.458608,0.000000,marker,3,-1,1748440385.290446,25
138.748698,0.000000,marker,1,-1,1748440390.580536,26
144.007554,0.000000,marker,3,-1,1748440395.839392,27
149.317164,0.000000,marker,1,-1,1748440401.149002,28
154.767322,0.000000,marker,1,-1,1748440406.599160,29
160.049603,0.000000,marker,3,-1,1748440411.881441,30
165.437296,0.000000,marker,1,-1,1748440417.269134,31
170.762522,0.000000,marker,1,-1,1748440422.594360,32
176.036995,0.000000,marker,1,-1,1748440427.868833,33
181.311468,0.000000,marker,1,-1,1748440433.143306,34
186.726489,0.000000,marker,1,-1,1748440438.558327,35
192.055620,0.000000,marker,2,-1,1748440443.887458,36
197.318380,0.000000,marker,1,-1,1748440449.150218,37
202.596757,0.000000,marker,1,-1,1748440454.428595,38
207.980545,0.000000,marker,1,-1,1748440459.812383,39
213.255018,0.000000,marker,3,-1,1748440465.086856,40
218.623190,0.000000,marker,1,-1,1748440470.455028,41
224.042115,0.000000,marker,1,-1,1748440475.873953,42
229.300972,0.000000,marker,1,-1,1748440481.132810,43
234.696472,0.000000,marker,3,-1,1748440486.528310,44
240.131014,0.000000,marker,1,-1,1748440491.962852,45
245.401583,0.000000,marker,3,-1,1748440497.233421,46
250.797084,0.000000,marker,1,-1,1748440502.628922,47
256.106694,0.000000,marker,1,-1,1748440507.938532,48
261.486578,0.000000,marker,3,-1,1748440513.318416,49
266.885983,0.000000,marker,1,-1,1748440518.717821,50
272.324429,0.000000,marker,2,-1,1748440524.156267,51
277.673080,0.000000,marker,1,-1,1748440529.504918,52
283.076389,0.000000,marker,1,-1,1748440534.908227,53
288.374286,0.000000,marker,3,-1,1748440540.206124,54
293.648759,0.000000,marker,1,-1,1748440545.480597,55
298.934944,0.000000,marker,1,-1,1748440550.766782,56
