latency,duration,type,marker_value,key,timestamp,marker_id
5.191257,0.000000,marker,1,-1,1740565930.103307,1
10.580725,0.000000,marker,3,-1,1740565935.492775,2
15.974433,0.000000,marker,1,-1,1740565940.886483,3
21.371476,0.000000,marker,2,-1,1740565946.283526,4
26.768564,0.000000,marker,1,-1,1740565951.680614,5
32.213691,0.000000,marker,2,-1,1740565957.125741,6
37.658567,0.000000,marker,1,-1,1740565962.570617,7
43.060819,0.000000,marker,3,-1,1740565967.972869,8
48.360097,0.000000,marker,1,-1,1740565973.272147,9
53.778307,0.000000,marker,2,-1,1740565978.690357,10
59.142178,0.000000,marker,1,-1,1740565984.054228,11
64.539409,0.000000,marker,2,-1,1740565989.451459,12
69.833259,0.000000,marker,1,-1,1740565994.745309,13
75.257845,0.000000,marker,3,-1,1740566000.169895,14
80.674036,0.000000,marker,1,-1,1740566005.586086,15
86.084240,0.000000,marker,3,-1,1740566010.996290,16
91.489037,0.000000,marker,1,-1,1740566016.401087,17
96.790760,0.000000,marker,2,-1,1740566021.702810,18
102.127127,0.000000,marker,1,-1,1740566027.039177,19
107.537979,0.000000,marker,3,-1,1740566032.450029,20
112.981463,0.000000,marker,1,-1,1740566037.893513,21
118.336780,0.000000,marker,1,-1,1740566043.248830,22
123.687007,0.000000,marker,1,-1,1740566048.599057,23
129.081577,0.000000,marker,1,-1,1740566053.993627,24
134.469571,0.000000,marker,3,-1,1740566059.381621,25
139.795095,0.000000,marker,1,-1,1740566064.707145,26
145.224746,0.000000,marker,3,-1,1740566070.136796,27
150.674614,0.000000,marker,1,-1,1740566075.586664,28
156.015178,0.000000,marker,1,-1,1740566080.927228,29
161.323921,0.000000,marker,3,-1,1740566086.235971,30
166.619359,0.000000,marker,1,-1,1740566091.531409,31
171.987666,0.000000,marker,3,-1,1740566096.899716,32
177.441769,0.000000,marker,1,-1,1740566102.353819,33
182.727908,0.000000,marker,1,-1,1740566107.639958,34
188.139374,0.000000,marker,1,-1,1740566113.051424,35
193.431528,0.000000,marker,3,-1,1740566118.343578,36
198.704263,0.000000,marker,1,-1,1740566123.616313,37
204.078909,0.000000,marker,1,-1,1740566128.990959,38
209.447349,0.000000,marker,3,-1,1740566134.359399,39
214.712991,0.000000,marker,1,-1,1740566139.625041,40
220.059409,0.000000,marker,3,-1,1740566144.971459,41
225.484313,0.000000,marker,1,-1,1740566150.396363,42
230.771377,0.000000,marker,2,-1,1740566155.683427,43
236.103594,0.000000,marker,1,-1,1740566161.015644,44
241.460732,0.000000,marker,2,-1,1740566166.372782,45
246.813267,0.000000,marker,1,-1,1740566171.725317,46
252.159198,0.000000,marker,2,-1,1740566177.071248,47
257.454785,0.000000,marker,1,-1,1740566182.366835,48
262.830145,0.000000,marker,1,-1,1740566187.742195,49
268.137753,0.000000,marker,1,-1,1740566193.049803,50
273.568380,0.000000,marker,1,-1,1740566198.480430,51
278.935249,0.000000,marker,1,-1,1740566203.847299,52
284.183093,0.000000,marker,3,-1,1740566209.095143,53
289.624834,0.000000,marker,1,-1,1740566214.536884,54
294.900015,0.000000,marker,2,-1,1740566219.812065,55
300.255884,0.000000,marker,1,-1,1740566225.167934,56
