latency,duration,type,marker_value,key,timestamp,marker_id
5.211993,0.000000,marker,1,-1,1747842148.034480,1
10.654327,0.000000,marker,1,-1,1747842153.476814,2
16.030293,0.000000,marker,2,-1,1747842158.852780,3
21.335983,0.000000,marker,1,-1,1747842164.158470,4
26.672907,0.000000,marker,1,-1,1747842169.495394,5
32.009831,0.000000,marker,1,-1,1747842174.832318,6
37.424837,0.000000,marker,2,-1,1747842180.247324,7
42.937446,0.000000,marker,1,-1,1747842185.759933,8
48.317315,0.000000,marker,3,-1,1747842191.139802,9
53.650335,0.000000,marker,1,-1,1747842196.472822,10
59.088765,0.000000,marker,2,-1,1747842201.911252,11
64.464731,0.000000,marker,1,-1,1747842207.287218,12
69.789942,0.000000,marker,2,-1,1747842212.612429,13
75.169811,0.000000,marker,1,-1,1747842217.992298,14
80.514543,0.000000,marker,3,-1,1747842223.337030,15
85.828042,0.000000,marker,1,-1,1747842228.650529,16
91.270377,0.000000,marker,1,-1,1747842234.092864,17
96.689287,0.000000,marker,2,-1,1747842239.511774,18
101.983266,0.000000,marker,1,-1,1747842244.805753,19
107.421696,0.000000,marker,1,-1,1747842250.244183,20
112.789853,0.000000,marker,3,-1,1747842255.612340,21
118.259517,0.000000,marker,1,-1,1747842261.082004,22
123.533975,0.000000,marker,3,-1,1747842266.356462,23
128.859186,0.000000,marker,1,-1,1747842271.681673,24
134.235151,0.000000,marker,3,-1,1747842277.057638,25
139.634541,0.000000,marker,1,-1,1747842282.457028,26
144.955848,0.000000,marker,3,-1,1747842287.778335,27
150.351334,0.000000,marker,1,-1,1747842293.173821,28
155.610175,0.000000,marker,3,-1,1747842298.432662,29
160.990044,0.000000,marker,1,-1,1747842303.812531,30
166.202036,0.000000,marker,1,-1,1747842309.024523,31
171.511631,0.000000,marker,2,-1,1747842314.334118,32
176.782185,0.000000,marker,1,-1,1747842319.604672,33
182.107397,0.000000,marker,3,-1,1747842324.929884,34
187.463841,0.000000,marker,1,-1,1747842330.286328,35
192.757820,0.000000,marker,2,-1,1747842335.580307,36
197.965908,0.000000,marker,1,-1,1747842340.788395,37
203.330160,0.000000,marker,2,-1,1747842346.152647,38
208.546057,0.000000,marker,1,-1,1747842351.368544,39
213.816610,0.000000,marker,1,-1,1747842356.639097,40
219.196480,0.000000,marker,3,-1,1747842362.018967,41
224.502170,0.000000,marker,1,-1,1747842367.324657,42
229.737587,0.000000,marker,1,-1,1747842372.560074,43
235.090127,0.000000,marker,1,-1,1747842377.912614,44
240.481709,0.000000,marker,1,-1,1747842383.304196,45
245.849866,0.000000,marker,2,-1,1747842388.672353,46
251.069666,0.000000,marker,1,-1,1747842393.892153,47
256.461247,0.000000,marker,2,-1,1747842399.283734,48
261.731801,0.000000,marker,1,-1,1747842404.554288,49
266.975026,0.000000,marker,1,-1,1747842409.797513,50
272.194827,0.000000,marker,2,-1,1747842415.017314,51
277.469285,0.000000,marker,1,-1,1747842420.291772,52
282.739839,0.000000,marker,2,-1,1747842425.562326,53
288.111899,0.000000,marker,1,-1,1747842430.934386,54
293.472248,0.000000,marker,2,-1,1747842436.294735,55
298.824788,0.000000,marker,1,-1,1747842441.647275,56
