latency,duration,type,marker_value,key,timestamp,marker_id
5.450155,0.000000,marker,1,-1,1748433727.641993,1
10.997913,0.000000,marker,3,-1,1748433733.189751,2
16.643274,0.000000,marker,1,-1,1748433738.835112,3
22.343293,0.000000,marker,2,-1,1748433744.535131,4
28.035503,0.000000,marker,1,-1,1748433750.227341,5
33.571549,0.000000,marker,3,-1,1748433755.763387,6
39.146636,0.000000,marker,1,-1,1748433761.338474,7
44.885696,0.000000,marker,1,-1,1748433767.077534,8
50.574002,0.000000,marker,2,-1,1748433772.765840,9
56.164705,0.000000,marker,1,-1,1748433778.356543,10
61.731984,0.000000,marker,2,-1,1748433783.923822,11
67.404674,0.000000,marker,1,-1,1748433789.596512,12
73.085172,0.000000,marker,3,-1,1748433795.277010,13
78.691492,0.000000,marker,1,-1,1748433800.883330,14
84.227537,0.000000,marker,2,-1,1748433806.419375,15
89.853377,0.000000,marker,1,-1,1748433812.045215,16
95.533876,0.000000,marker,3,-1,1748433817.725714,17
101.085538,0.000000,marker,1,-1,1748433823.277376,18
106.641104,0.000000,marker,1,-1,1748433828.832942,19
112.192766,0.000000,marker,1,-1,1748433834.384604,20
117.802990,0.000000,marker,3,-1,1748433839.994828,21
123.506913,0.000000,marker,1,-1,1748433845.698751,22
129.132753,0.000000,marker,1,-1,1748433851.324591,23
134.746881,0.000000,marker,3,-1,1748433856.938719,24
140.400050,0.000000,marker,1,-1,1748433862.591888,25
145.990753,0.000000,marker,2,-1,1748433868.182591,26
151.667347,0.000000,marker,1,-1,1748433873.859185,27
157.324421,0.000000,marker,3,-1,1748433879.516259,28
162.977590,0.000000,marker,1,-1,1748433885.169428,29
168.654184,0.000000,marker,2,-1,1748433890.846022,30
174.252695,0.000000,marker,1,-1,1748433896.444533,31
179.901961,0.000000,marker,3,-1,1748433902.093799,32
185.621500,0.000000,marker,1,-1,1748433907.813338,33
191.262957,0.000000,marker,3,-1,1748433913.454795,34
196.982496,0.000000,marker,1,-1,1748433919.174334,35
202.506829,0.000000,marker,1,-1,1748433924.698667,36
208.093628,0.000000,marker,1,-1,1748433930.285466,37
213.684332,0.000000,marker,1,-1,1748433935.876170,38
219.290651,0.000000,marker,1,-1,1748433941.482489,39
224.889163,0.000000,marker,3,-1,1748433947.081001,40
230.417400,0.000000,marker,1,-1,1748433952.609238,41
236.070570,0.000000,marker,3,-1,1748433958.262408,42
241.633944,0.000000,marker,1,-1,1748433963.825782,43
247.212935,0.000000,marker,3,-1,1748433969.404773,44
252.756789,0.000000,marker,1,-1,1748433974.948627,45
258.413862,0.000000,marker,2,-1,1748433980.605700,46
264.125593,0.000000,marker,1,-1,1748433986.317431,47
269.681159,0.000000,marker,3,-1,1748433991.872997,48
275.264054,0.000000,marker,1,-1,1748433997.455892,49
280.936744,0.000000,marker,3,-1,1748434003.128582,50
286.554776,0.000000,marker,1,-1,1748434008.746614,51
292.227466,0.000000,marker,3,-1,1748434014.419304,52
297.818170,0.000000,marker,1,-1,1748434020.010008,53
