latency,duration,type,marker_value,key,timestamp,marker_id
5.289981,0.000000,marker,1,-1,1748427979.164334,1
10.619003,0.000000,marker,3,-1,1748427984.493356,2
16.037817,0.000000,marker,1,-1,1748427989.912170,3
21.468344,0.000000,marker,1,-1,1748427995.342697,4
26.758325,0.000000,marker,1,-1,1748428000.632678,5
32.095155,0.000000,marker,3,-1,1748428005.969508,6
37.529585,0.000000,marker,1,-1,1748428011.403938,7
42.800046,0.000000,marker,3,-1,1748428016.674399,8
48.140780,0.000000,marker,1,-1,1748428022.015133,9
53.540074,0.000000,marker,1,-1,1748428027.414427,10
58.982313,0.000000,marker,3,-1,1748428032.856666,11
64.440168,0.000000,marker,1,-1,1748428038.314521,12
69.761381,0.000000,marker,3,-1,1748428043.635734,13
75.102114,0.000000,marker,1,-1,1748428048.976467,14
80.356959,0.000000,marker,3,-1,1748428054.231312,15
85.682077,0.000000,marker,1,-1,1748428059.556430,16
90.944729,0.000000,marker,1,-1,1748428064.819082,17
96.262039,0.000000,marker,3,-1,1748428070.136392,18
101.591060,0.000000,marker,1,-1,1748428075.465413,19
106.986450,0.000000,marker,3,-1,1748428080.860803,20
112.334992,0.000000,marker,1,-1,1748428086.209345,21
117.644493,0.000000,marker,1,-1,1748428091.518846,22
122.973515,0.000000,marker,2,-1,1748428096.847868,23
128.329865,0.000000,marker,1,-1,1748428102.204218,24
133.654982,0.000000,marker,2,-1,1748428107.529335,25
139.019140,0.000000,marker,1,-1,1748428112.893493,26
144.441858,0.000000,marker,2,-1,1748428118.316211,27
149.708415,0.000000,marker,1,-1,1748428123.582768,28
154.978876,0.000000,marker,3,-1,1748428128.853229,29
160.241529,0.000000,marker,1,-1,1748428134.115882,30
165.593974,0.000000,marker,2,-1,1748428139.468327,31
170.985461,0.000000,marker,1,-1,1748428144.859814,32
176.232497,0.000000,marker,2,-1,1748428150.106850,33
181.584943,0.000000,marker,1,-1,1748428155.459296,34
186.960813,0.000000,marker,3,-1,1748428160.835166,35
192.383531,0.000000,marker,1,-1,1748428166.257884,36
197.767209,0.000000,marker,2,-1,1748428171.641562,37
203.182120,0.000000,marker,1,-1,1748428177.056473,38
208.425252,0.000000,marker,1,-1,1748428182.299605,39
213.812834,0.000000,marker,3,-1,1748428187.687187,40
219.235553,0.000000,marker,1,-1,1748428193.109906,41
224.572383,0.000000,marker,1,-1,1748428198.446736,42
229.913116,0.000000,marker,2,-1,1748428203.787469,43
235.218713,0.000000,marker,1,-1,1748428209.093066,44
240.496982,0.000000,marker,1,-1,1748428214.371335,45
245.876756,0.000000,marker,1,-1,1748428219.751109,46
251.283859,0.000000,marker,3,-1,1748428225.158212,47
256.632400,0.000000,marker,1,-1,1748428230.506753,48
262.016078,0.000000,marker,1,-1,1748428235.890431,49
267.446605,0.000000,marker,3,-1,1748428241.320958,50
272.841995,0.000000,marker,1,-1,1748428246.716348,51
278.178825,0.000000,marker,1,-1,1748428252.053178,52
283.519558,0.000000,marker,3,-1,1748428257.393911,53
