latency,duration,type,marker_value,key,timestamp,marker_id
5.286478,0.000000,marker,1,-1,1748427566.841576,1
10.641307,0.000000,marker,3,-1,1748427572.196405,2
16.031381,0.000000,marker,1,-1,1748427577.586479,3
21.502613,0.000000,marker,3,-1,1748427583.057711,4
26.992637,0.000000,marker,1,-1,1748427588.547735,5
32.450912,0.000000,marker,2,-1,1748427594.006010,6
37.897421,0.000000,marker,1,-1,1748427599.452519,7
43.254304,0.000000,marker,3,-1,1748427604.809402,8
48.720420,0.000000,marker,1,-1,1748427610.275518,9
54.058959,0.000000,marker,3,-1,1748427615.614057,10
59.323553,0.000000,marker,1,-1,1748427620.878651,11
64.738817,0.000000,marker,2,-1,1748427626.293915,12
70.117269,0.000000,marker,1,-1,1748427631.672367,13
75.600131,0.000000,marker,2,-1,1748427637.155229,14
80.899903,0.000000,marker,1,-1,1748427642.455001,15
86.260344,0.000000,marker,2,-1,1748427647.815442,16
91.666977,0.000000,marker,1,-1,1748427653.222075,17
97.152041,0.000000,marker,3,-1,1748427658.707139,18
102.564727,0.000000,marker,1,-1,1748427664.119825,19
108.012210,0.000000,marker,1,-1,1748427669.567308,20
113.431535,0.000000,marker,3,-1,1748427674.986633,21
118.695394,0.000000,marker,1,-1,1748427680.250492,22
124.086906,0.000000,marker,2,-1,1748427685.642004,23
129.516326,0.000000,marker,1,-1,1748427691.071424,24
134.928042,0.000000,marker,3,-1,1748427696.483140,25
140.251707,0.000000,marker,1,-1,1748427701.806805,26
145.719797,0.000000,marker,3,-1,1748427707.274895,27
151.126444,0.000000,marker,1,-1,1748427712.681542,28
156.523480,0.000000,marker,3,-1,1748427718.078578,29
161.871019,0.000000,marker,1,-1,1748427723.426117,30
167.246420,0.000000,marker,1,-1,1748427728.801518,31
172.677938,0.000000,marker,1,-1,1748427734.233036,32
178.138697,0.000000,marker,3,-1,1748427739.693795,33
183.611348,0.000000,marker,1,-1,1748427745.166446,34
188.926393,0.000000,marker,1,-1,1748427750.481491,35
194.306196,0.000000,marker,2,-1,1748427755.861294,36
199.639181,0.000000,marker,1,-1,1748427761.194279,37
205.084669,0.000000,marker,1,-1,1748427766.639767,38
210.405554,0.000000,marker,2,-1,1748427771.960652,39
215.743447,0.000000,marker,1,-1,1748427777.298545,40
221.123590,0.000000,marker,2,-1,1748427782.678688,41
226.598413,0.000000,marker,1,-1,1748427788.153511,42
231.936827,0.000000,marker,3,-1,1748427793.491925,43
237.306848,0.000000,marker,1,-1,1748427798.861946,44
242.767084,0.000000,marker,1,-1,1748427804.322182,45
248.086607,0.000000,marker,2,-1,1748427809.641705,46
253.457605,0.000000,marker,1,-1,1748427815.012703,47
258.887966,0.000000,marker,1,-1,1748427820.443064,48
264.290405,0.000000,marker,2,-1,1748427825.845503,49
269.632703,0.000000,marker,1,-1,1748427831.187801,50
275.072003,0.000000,marker,3,-1,1748427836.627101,51
280.490704,0.000000,marker,1,-1,1748427842.045802,52
285.829862,0.000000,marker,1,-1,1748427847.384960,53
