latency,duration,type,marker_value,key,timestamp,marker_id
5.227582,0.000000,marker,1,-1,1741792403.366210,1
10.654671,0.000000,marker,1,-1,1741792408.793299,2
16.092676,0.000000,marker,3,-1,1741792414.231304,3
21.483932,0.000000,marker,1,-1,1741792419.622560,4
26.801909,0.000000,marker,3,-1,1741792424.940537,5
32.162733,0.000000,marker,1,-1,1741792430.301361,6
37.522560,0.000000,marker,2,-1,1741792435.661188,7
42.850853,0.000000,marker,1,-1,1741792440.989481,8
48.231501,0.000000,marker,2,-1,1741792446.370129,9
53.682428,0.000000,marker,1,-1,1741792451.821056,10
59.080498,0.000000,marker,1,-1,1741792457.219126,11
64.414098,0.000000,marker,1,-1,1741792462.552726,12
69.859320,0.000000,marker,1,-1,1741792467.997948,13
75.253082,0.000000,marker,2,-1,1741792473.391710,14
80.591997,0.000000,marker,1,-1,1741792478.730625,15
85.937317,0.000000,marker,1,-1,1741792484.075945,16
91.333187,0.000000,marker,1,-1,1741792489.471815,17
96.791024,0.000000,marker,3,-1,1741792494.929652,18
102.233044,0.000000,marker,1,-1,1741792500.371672,19
107.561748,0.000000,marker,1,-1,1741792505.700376,20
112.922581,0.000000,marker,1,-1,1741792511.061209,21
118.399839,0.000000,marker,1,-1,1741792516.538467,22
123.725535,0.000000,marker,1,-1,1741792521.864163,23
129.193987,0.000000,marker,3,-1,1741792527.332615,24
134.493357,0.000000,marker,1,-1,1741792532.631985,25
139.981929,0.000000,marker,3,-1,1741792538.120557,26
145.335055,0.000000,marker,1,-1,1741792543.473683,27
150.765065,0.000000,marker,3,-1,1741792548.903693,28
156.155235,0.000000,marker,1,-1,1741792554.293863,29
161.594251,0.000000,marker,3,-1,1741792559.732879,30
166.966998,0.000000,marker,1,-1,1741792565.105626,31
172.390199,0.000000,marker,3,-1,1741792570.528827,32
177.761147,0.000000,marker,1,-1,1741792575.899775,33
183.204667,0.000000,marker,1,-1,1741792581.343295,34
188.619560,0.000000,marker,3,-1,1741792586.758188,35
193.966177,0.000000,marker,1,-1,1741792592.104805,36
199.437033,0.000000,marker,2,-1,1741792597.575661,37
204.789460,0.000000,marker,1,-1,1741792602.928088,38
210.185733,0.000000,marker,3,-1,1741792608.324361,39
215.586308,0.000000,marker,1,-1,1741792613.724936,40
220.957357,0.000000,marker,1,-1,1741792619.095985,41
226.450832,0.000000,marker,1,-1,1741792624.589460,42
231.897759,0.000000,marker,1,-1,1741792630.036387,43
237.259601,0.000000,marker,2,-1,1741792635.398229,44
242.621235,0.000000,marker,1,-1,1741792640.759863,45
247.930118,0.000000,marker,1,-1,1741792646.068746,46
253.272434,0.000000,marker,3,-1,1741792651.411062,47
258.607945,0.000000,marker,1,-1,1741792656.746573,48
264.008121,0.000000,marker,2,-1,1741792662.146749,49
269.336324,0.000000,marker,1,-1,1741792667.474952,50
274.800164,0.000000,marker,1,-1,1741792672.938792,51
280.131472,0.000000,marker,1,-1,1741792678.270100,52
285.531352,0.000000,marker,2,-1,1741792683.669980,53
290.941042,0.000000,marker,1,-1,1741792689.079670,54
296.376854,0.000000,marker,3,-1,1741792694.515482,55
