latency,duration,type,marker_value,key,timestamp,marker_id
5.275344,0.000000,marker,1,-1,1748445917.506738,1
10.704754,0.000000,marker,2,-1,1748445922.936148,2
16.081704,0.000000,marker,1,-1,1748445928.313098,3
21.511215,0.000000,marker,1,-1,1748445933.742609,4
26.915494,0.000000,marker,2,-1,1748445939.146888,5
32.342099,0.000000,marker,1,-1,1748445944.573493,6
37.799737,0.000000,marker,2,-1,1748445950.031131,7
43.266082,0.000000,marker,1,-1,1748445955.497476,8
48.731428,0.000000,marker,3,-1,1748445960.962822,9
54.092663,0.000000,marker,1,-1,1748445966.324057,10
59.515763,0.000000,marker,3,-1,1748445971.747157,11
65.006240,0.000000,marker,1,-1,1748445977.237634,12
70.442552,0.000000,marker,3,-1,1748445982.673946,13
75.902188,0.000000,marker,1,-1,1748445988.133582,14
81.342012,0.000000,marker,1,-1,1748445993.573406,15
86.839090,0.000000,marker,1,-1,1748445999.070484,16
92.180204,0.000000,marker,3,-1,1748446004.411598,17
97.689994,0.000000,marker,1,-1,1748446009.921388,18
103.142929,0.000000,marker,1,-1,1748446015.374323,19
108.604771,0.000000,marker,3,-1,1748446020.836165,20
114.080323,0.000000,marker,1,-1,1748446026.311717,21
119.505829,0.000000,marker,1,-1,1748446031.737223,22
124.862160,0.000000,marker,1,-1,1748446037.093554,23
130.380566,0.000000,marker,3,-1,1748446042.611960,24
135.841001,0.000000,marker,1,-1,1748446048.072395,25
141.328373,0.000000,marker,3,-1,1748446053.559767,26
146.689508,0.000000,marker,1,-1,1748446058.920902,27
152.189791,0.000000,marker,2,-1,1748446064.421185,28
157.579753,0.000000,marker,1,-1,1748446069.811147,29
163.089351,0.000000,marker,2,-1,1748446075.320745,30
168.558801,0.000000,marker,1,-1,1748446080.790195,31
173.923939,0.000000,marker,3,-1,1748446086.155333,32
179.425521,0.000000,marker,1,-1,1748446091.656915,33
184.814184,0.000000,marker,1,-1,1748446097.045578,34
190.145892,0.000000,marker,3,-1,1748446102.377286,35
195.471290,0.000000,marker,1,-1,1748446107.702684,36
200.806602,0.000000,marker,2,-1,1748446113.037996,37
206.149614,0.000000,marker,1,-1,1748446118.381008,38
211.493334,0.000000,marker,1,-1,1748446123.724728,39
216.982405,0.000000,marker,1,-1,1748446129.213799,40
222.377277,0.000000,marker,2,-1,1748446134.608671,41
227.851531,0.000000,marker,1,-1,1748446140.082925,42
233.361221,0.000000,marker,2,-1,1748446145.592615,43
238.815055,0.000000,marker,1,-1,1748446151.046449,44
244.196517,0.000000,marker,3,-1,1748446156.427911,45
249.597991,0.000000,marker,1,-1,1748446161.829385,46
254.959125,0.000000,marker,1,-1,1748446167.190519,47
260.454805,0.000000,marker,2,-1,1748446172.686199,48
265.959492,0.000000,marker,1,-1,1748446178.190886,49
271.285090,0.000000,marker,1,-1,1748446183.516484,50
276.773961,0.000000,marker,1,-1,1748446189.005355,51
282.224790,0.000000,marker,3,-1,1748446194.456184,52
287.763315,0.000000,marker,1,-1,1748446199.994709,53
293.192717,0.000000,marker,1,-1,1748446205.424111,54
298.703714,0.000000,marker,2,-1,1748446210.935108,55
