latency,duration,type,marker_value,key,timestamp,marker_id
5.337210,0.000000,marker,1,-1,1748445441.705547,1
10.821777,0.000000,marker,3,-1,1748445447.190114,2
16.217549,0.000000,marker,1,-1,1748445452.585886,3
21.568469,0.000000,marker,2,-1,1748445457.936806,4
26.993276,0.000000,marker,1,-1,1748445463.361613,5
32.460121,0.000000,marker,1,-1,1748445468.828458,6
37.877419,0.000000,marker,3,-1,1748445474.245756,7
43.249766,0.000000,marker,1,-1,1748445479.618103,8
48.758457,0.000000,marker,3,-1,1748445485.126794,9
54.142317,0.000000,marker,1,-1,1748445490.510654,10
59.549401,0.000000,marker,2,-1,1748445495.917738,11
64.995028,0.000000,marker,1,-1,1748445501.363365,12
70.380386,0.000000,marker,1,-1,1748445506.748723,13
75.876765,0.000000,marker,1,-1,1748445512.245102,14
81.358427,0.000000,marker,2,-1,1748445517.726764,15
86.744492,0.000000,marker,1,-1,1748445523.112829,16
92.096512,0.000000,marker,2,-1,1748445528.464849,17
97.591193,0.000000,marker,1,-1,1748445533.959530,18
103.029111,0.000000,marker,3,-1,1748445539.397448,19
108.468627,0.000000,marker,1,-1,1748445544.836964,20
113.906844,0.000000,marker,1,-1,1748445550.275181,21
119.406628,0.000000,marker,2,-1,1748445555.774965,22
124.877277,0.000000,marker,1,-1,1748445561.245614,23
130.351231,0.000000,marker,1,-1,1748445566.719568,24
135.761820,0.000000,marker,3,-1,1748445572.130157,25
141.233168,0.000000,marker,1,-1,1748445577.601505,26
146.583497,0.000000,marker,1,-1,1748445582.951834,27
151.906190,0.000000,marker,1,-1,1748445588.274527,28
157.364128,0.000000,marker,2,-1,1748445593.732465,29
162.852399,0.000000,marker,1,-1,1748445599.220736,30
168.336966,0.000000,marker,2,-1,1748445604.705303,31
173.843551,0.000000,marker,1,-1,1748445610.211888,32
179.269657,0.000000,marker,2,-1,1748445615.637994,33
184.781852,0.000000,marker,1,-1,1748445621.150189,34
190.290643,0.000000,marker,3,-1,1748445626.658980,35
195.693624,0.000000,marker,1,-1,1748445632.061961,36
201.034838,0.000000,marker,2,-1,1748445637.403175,37
206.413795,0.000000,marker,1,-1,1748445642.782132,38
211.903365,0.000000,marker,1,-1,1748445648.271702,39
217.339277,0.000000,marker,1,-1,1748445653.707614,40
222.807228,0.000000,marker,3,-1,1748445659.175565,41
228.248850,0.000000,marker,1,-1,1748445664.617187,42
233.684462,0.000000,marker,2,-1,1748445670.052799,43
239.131187,0.000000,marker,1,-1,1748445675.499524,44
244.628765,0.000000,marker,3,-1,1748445680.997102,45
250.027742,0.000000,marker,1,-1,1748445686.396079,46
255.417612,0.000000,marker,2,-1,1748445691.785949,47
260.822190,0.000000,marker,1,-1,1748445697.190527,48
266.230574,0.000000,marker,2,-1,1748445702.598911,49
271.617139,0.000000,marker,1,-1,1748445707.985476,50
277.145650,0.000000,marker,2,-1,1748445713.513987,51
282.512095,0.000000,marker,1,-1,1748445718.880432,52
287.851003,0.000000,marker,1,-1,1748445724.219340,53
293.270000,0.000000,marker,2,-1,1748445729.638337,54
298.777292,0.000000,marker,1,-1,1748445735.145629,55
