latency,duration,type,marker_value,key,timestamp,marker_id
5.489193,0.000000,marker,1,-1,1748434725.230564,1
11.075990,0.000000,marker,1,-1,1748434730.817361,2
16.608128,0.000000,marker,2,-1,1748434736.349499,3
22.288624,0.000000,marker,1,-1,1748434742.029995,4
27.965215,0.000000,marker,2,-1,1748434747.706586,5
33.509066,0.000000,marker,1,-1,1748434753.250437,6
39.029492,0.000000,marker,2,-1,1748434758.770863,7
44.682658,0.000000,marker,1,-1,1748434764.424029,8
50.273359,0.000000,marker,1,-1,1748434770.014730,9
55.797689,0.000000,marker,3,-1,1748434775.539060,10
61.322019,0.000000,marker,1,-1,1748434781.063390,11
67.045460,0.000000,marker,1,-1,1748434786.786831,12
72.729859,0.000000,marker,1,-1,1748434792.471230,13
78.398642,0.000000,marker,3,-1,1748434798.140013,14
84.149411,0.000000,marker,1,-1,1748434803.890782,15
89.697167,0.000000,marker,1,-1,1748434809.438538,16
95.307388,0.000000,marker,1,-1,1748434815.048759,17
100.878567,0.000000,marker,3,-1,1748434820.619938,18
106.570775,0.000000,marker,1,-1,1748434826.312146,19
112.302024,0.000000,marker,3,-1,1748434832.043395,20
117.955190,0.000000,marker,1,-1,1748434837.696561,21
123.502945,0.000000,marker,2,-1,1748434843.244316,22
129.074125,0.000000,marker,1,-1,1748434848.815496,23
134.731196,0.000000,marker,1,-1,1748434854.472567,24
140.407787,0.000000,marker,3,-1,1748434860.149158,25
146.025816,0.000000,marker,1,-1,1748434865.767187,26
151.557955,0.000000,marker,1,-1,1748434871.299326,27
157.234546,0.000000,marker,2,-1,1748434876.975917,28
162.794013,0.000000,marker,1,-1,1748434882.535384,29
168.501837,0.000000,marker,1,-1,1748434888.243208,30
174.506374,0.000000,marker,3,-1,1748434894.247745,31
180.413309,0.000000,marker,1,-1,1748434900.154680,32
186.257777,0.000000,marker,3,-1,1748434905.999148,33
192.168615,0.000000,marker,1,-1,1748434911.909986,34
198.079454,0.000000,marker,3,-1,1748434917.820825,35
204.083991,0.000000,marker,1,-1,1748434923.825362,36
209.975308,0.000000,marker,3,-1,1748434929.716679,37
215.921284,0.000000,marker,1,-1,1748434935.662655,38
221.820410,0.000000,marker,2,-1,1748434941.561781,39
227.676590,0.000000,marker,1,-1,1748434947.417961,40
233.673319,0.000000,marker,1,-1,1748434953.414690,41
239.595870,0.000000,marker,1,-1,1748434959.337241,42
245.596503,0.000000,marker,3,-1,1748434965.337874,43
251.530766,0.000000,marker,1,-1,1748434971.272137,44
257.425988,0.000000,marker,1,-1,1748434977.167359,45
263.262648,0.000000,marker,2,-1,1748434983.004019,46
269.271089,0.000000,marker,1,-1,1748434989.012460,47
275.174120,0.000000,marker,1,-1,1748434994.915491,48
281.163040,0.000000,marker,1,-1,1748435000.904411,49
287.124632,0.000000,marker,3,-1,1748435006.866003,50
293.097936,0.000000,marker,1,-1,1748435012.839307,51
299.067336,0.000000,marker,1,-1,1748435018.808707,52
