latency,duration,type,marker_value,key,timestamp,marker_id
5.122698,0.000000,marker,1,-1,1747840960.753114,1
10.470237,0.000000,marker,3,-1,1747840966.100653,2
15.845703,0.000000,marker,1,-1,1747840971.476119,3
21.292440,0.000000,marker,3,-1,1747840976.922856,4
26.786031,0.000000,marker,1,-1,1747840982.416447,5
32.208041,0.000000,marker,2,-1,1747840987.838457,6
37.515836,0.000000,marker,1,-1,1747840993.146252,7
42.866869,0.000000,marker,3,-1,1747840998.497285,8
48.168254,0.000000,marker,1,-1,1747841003.798670,9
53.568147,0.000000,marker,3,-1,1747841009.198563,10
59.030398,0.000000,marker,1,-1,1747841014.660814,11
64.522884,0.000000,marker,1,-1,1747841020.153300,12
69.875226,0.000000,marker,2,-1,1747841025.505642,13
75.284024,0.000000,marker,1,-1,1747841030.914440,14
80.662195,0.000000,marker,1,-1,1747841036.292611,15
85.968085,0.000000,marker,1,-1,1747841041.598501,16
91.475489,0.000000,marker,3,-1,1747841047.105905,17
96.800301,0.000000,marker,1,-1,1747841052.430717,18
102.263457,0.000000,marker,1,-1,1747841057.893873,19
107.693778,0.000000,marker,3,-1,1747841063.324194,20
113.123699,0.000000,marker,1,-1,1747841068.754115,21
118.566129,0.000000,marker,2,-1,1747841074.196545,22
124.060309,0.000000,marker,1,-1,1747841079.690725,23
129.561302,0.000000,marker,1,-1,1747841085.191718,24
135.054897,0.000000,marker,3,-1,1747841090.685313,25
140.458389,0.000000,marker,1,-1,1747841096.088805,26
145.833950,0.000000,marker,2,-1,1747841101.464366,27
151.227238,0.000000,marker,1,-1,1747841106.857654,28
156.570764,0.000000,marker,3,-1,1747841112.201180,29
161.976862,0.000000,marker,1,-1,1747841117.607278,30
167.384861,0.000000,marker,2,-1,1747841123.015277,31
172.847211,0.000000,marker,1,-1,1747841128.477627,32
178.300454,0.000000,marker,1,-1,1747841133.930870,33
183.761900,0.000000,marker,1,-1,1747841139.392316,34
189.210229,0.000000,marker,2,-1,1747841144.840645,35
194.690200,0.000000,marker,1,-1,1747841150.320616,36
200.011799,0.000000,marker,1,-1,1747841155.642215,37
205.417489,0.000000,marker,2,-1,1747841161.047905,38
210.742992,0.000000,marker,1,-1,1747841166.373408,39
216.138270,0.000000,marker,1,-1,1747841171.768686,40
221.490802,0.000000,marker,1,-1,1747841177.121218,41
226.918116,0.000000,marker,1,-1,1747841182.548532,42
232.356544,0.000000,marker,3,-1,1747841187.986960,43
237.814288,0.000000,marker,1,-1,1747841193.444704,44
243.265727,0.000000,marker,1,-1,1747841198.896143,45
248.660305,0.000000,marker,1,-1,1747841204.290721,46
254.004631,0.000000,marker,2,-1,1747841209.635047,47
259.457674,0.000000,marker,1,-1,1747841215.088090,48
264.842344,0.000000,marker,1,-1,1747841220.472760,49
270.277366,0.000000,marker,1,-1,1747841225.907782,50
275.644215,0.000000,marker,3,-1,1747841231.274631,51
281.052305,0.000000,marker,1,-1,1747841236.682721,52
286.526068,0.000000,marker,3,-1,1747841242.156484,53
291.988416,0.000000,marker,1,-1,1747841247.618832,54
297.316927,0.000000,marker,1,-1,1747841252.947343,55
